fired_at,pair,direction,entry,sl,tp1,tp2,rr_tp1,rr_tp2,sl_pips,zone_src,session,sweep_time
2026-05-22 19:30 UTC,CADJPY,short,115.39878,115.43454,115.34514,115.32671,1.5,2.02,3.6,BSL_6touch,London,2026-05-22 19:00 UTC
2026-05-22 20:00 UTC,GBPJPY,short,213.63135,213.7025,213.52463,213.46036,1.5,2.4,7.1,BSL_6touch,London,2026-05-22 18:00 UTC
2026-05-22 20:15 UTC,GBPUSD,long,1.34295,1.34215,1.34415,1.34477,1.5,2.27,8.0,SSL_3touch,London,2026-05-22 19:00 UTC
2026-05-22 21:15 UTC,GBPAUD,long,1.88413,1.88357,1.88497,1.88572,1.5,2.84,5.6,SSL_3touch,London,2026-05-22 19:00 UTC
2026-05-25 06:00 UTC,USDJPY,short,159.16683,159.22381,159.08136,159.00778,1.5,2.79,5.7,BSL_4touch,London,2026-05-25 03:30 UTC
2026-05-25 08:00 UTC,EURUSD,short,1.16033,1.16089,1.15949,1.15888,1.5,2.59,5.6,BSL_3touch,London,2026-05-25 05:15 UTC
2026-05-25 08:00 UTC,GBPUSD,short,1.34357,1.34445,1.34225,1.34141,1.5,2.45,8.8,BSL_2touch,London,2026-05-25 05:15 UTC
2026-05-25 08:00 UTC,GBPUSD,long,1.34333,1.34284,1.34406,1.34447,1.5,2.33,4.9,SSL_8touch,London,2026-05-25 05:15 UTC
2026-05-25 08:00 UTC,AUDJPY,short,113.50149,113.558,113.41672,113.3011,1.5,3.55,5.7,BSL_3touch,London,2026-05-25 05:00 UTC
2026-05-25 08:00 UTC,XAUUSD,short,4506.57667,4509.4372,4502.28588,4491.97264,1.5,5.11,28.6,BSL_11touch,London,2026-05-25 06:15 UTC
2026-05-25 08:00 UTC,GBPAUD,long,1.88458,1.88394,1.88554,1.88614,1.5,2.44,6.4,SSL_7touch,London,2026-05-25 05:00 UTC
2026-05-25 08:00 UTC,GBPAUD,short,1.8845,1.88531,1.88329,1.88283,1.5,2.06,8.1,BSL_2touch,London,2026-05-25 05:45 UTC
2026-05-25 08:00 UTC,GBPAUD,long,1.88458,1.88394,1.88554,1.88614,1.5,2.44,6.4,SSL_2touch,London,2026-05-25 05:00 UTC
2026-05-25 08:15 UTC,XAUUSD,long,4528.30839,4504.2194,4564.44188,4593.46333,1.5,2.7,240.9,SSL_2touch,London,2026-05-25 07:00 UTC
2026-05-25 08:15 UTC,USDCAD,short,1.38082,1.38175,1.37942,1.37833,1.5,2.68,9.3,BSL_3touch,London,2026-05-25 05:15 UTC
2026-05-25 08:30 UTC,EURUSD,long,1.16389,1.16298,1.16526,1.16621,1.5,2.55,9.1,SSL_2touch,London,2026-05-25 07:00 UTC
2026-05-25 08:30 UTC,GBPAUD,long,1.88315,1.87993,1.88798,1.88983,1.5,2.07,32.2,SSL_3touch,London,2026-05-25 07:00 UTC
2026-05-25 09:45 UTC,USDJPY,long,158.89652,158.84715,158.97058,159.00325,1.5,2.16,4.9,SSL_2touch,London,2026-05-25 07:00 UTC
2026-05-25 10:00 UTC,EURUSD,short,1.16434,1.16483,1.1636,1.16271,1.5,3.33,4.9,BSL_5touch,London,2026-05-25 07:00 UTC
2026-05-25 12:00 UTC,USDJPY,long,158.82998,158.7315,158.9777,159.10707,1.5,2.81,9.8,SSL_6touch,London,2026-05-25 11:15 UTC
